latitude,longitude,Species diversity
-1.143527504,103.567663,4.55646399515897
54.44604693,159.2176541,4.77419740620952
47.59188136,8.771844797,6.1723273767662
53.11063048,156.8780711,15.9239455897493
42.98354877,-8.848985718,6.2240241095566
55.17313015,40.21975643,10.7547199413111
60.75229593,-135.1052155,7.59695589668111
-54.61643562,-67.77189296,7.49781913229391
41.59188232,24.44475896,3.16644542317532
-1.143527504,103.5697463,2.94219115864615
46.97313146,6.713511793,14.1835674827931
41.85229895,23.17392583,40.0000000000002
4.939804856,-75.34480841,15.9786938832213
48.83979783,16.49684356,23.0
55.26688014,40.2114231,3.60216304177194
53.75854704,156.5572378,16.3425564919026
42.22938222,23.3489258,5.7086204881696
62.00437906,-150.0593798,8.9480922779646
42.20229889,23.31350914,13.262162696706
43.11896541,23.12392583,12.4720206588333
-42.8289375,170.9384855,19.5992740486965
42.20438223,23.3176758,10.0496086049451
52.93563051,-2.759403358,8.83432243194582
53.79604704,-73.32605873,15.6286147843525
53.6356304,-2.844820011,7.6052130663731
-13.91644213,-171.769793,40.0000000000002
47.5939647,8.765594798,3.64933575405341
42.1460489,23.78434239,15.2946695702534
53.80438037,156.3947378,5.15461472270543
44.15646525,-111.071886,8.58173720539555
46.45646488,9.855177957,24.4518468083686
64.08354539,-17.16773439,29.9947401030017
42.98146544,-8.003152519,8.943591209604
41.83771562,23.38850912,22.0
53.6356304,-2.838570012,9.51732410227229
-1.235194157,103.6197463,3.92393376222739
52.41896393,17.36559342,18.9069090517555
-1.143527504,103.567663,4.57401321513325
44.93771512,136.4655744,13.414561539074
-40.66643785,-72.17189225,17.0
63.08146222,-149.5260465,18.7591451259309
42.58354883,23.26975914,11.4773428509095
-1.143527504,103.5697463,5.31499341996511
-4.114360363,-78.9677245,37.0202228078465
36.56063313,-5.596902904,16.0287921452027
60.52729596,-150.5177131,12.9560267147453
74.47104373,-20.57398384,17.3413106107574
53.89396369,-1.823986841,13.3717573292368
42.14813224,23.78850906,10.1535555394309
-0.660194249,-90.32813935,5.28196929784822
46.92729814,-92.79480562,16.5672611342241
-1.233110823,103.6197463,6.78202681594858
52.93563051,-2.759403358,12.5097654127482
51.12521413,-55.92606152,10.1424595246326
54.77521355,43.40725592,9.95762347464888
53.83354703,17.57601005,32.691495939172
42.14396557,23.78434239,18.7715349799925
43.54188201,-7.505235933,33.5508268377879
67.44396152,86.70516566,17.4673085168301
52.73563054,157.346821,6.89673431142679
61.84396242,24.28850898,8.12933945416355
-1.143527504,103.567663,3.60208574863501
-45.78102036,170.5551522,13.365590594737
42.41896553,-8.348985797,11.6758481265681
-1.233110823,103.6197463,4.97982146933257
42.76688214,24.25934232,21.2779319771977
41.74396563,24.14684234,7.18205903540144
-1.143527504,103.5655796,10.6311516079358
42.68771548,-8.93440237,9.6916212694762
56.97104653,82.60308298,17.6099527465198
-1.143527504,103.5655796,6.31394238294958
-3.933110392,-74.41147523,13.0170923369412
42.5877155,23.25100915,8.25741157407963
42.58354883,23.28642581,8.14648632714585
54.77521355,43.43433925,18.2153123276101
45.96688162,-71.13855908,22.9061217006093
57.11479651,12.78017749,20.2577411535117
-0.643527585,-90.32397268,6.21450935844823
48.77521451,16.6947602,12.0
46.27104824,-86.64688994,16.7141395198027
52.93563051,-2.759403358,10.720283415545
43.11896541,23.12392583,6.22637155928955
