RF_runs_num,R2_train,RMSE_train,R2_test,RMSE_test
0,0.9054117784709229,0.09920772321138827,0.5279149567721783,0.2409034223805063
1,0.9076473359736529,0.09921117951108797,0.674083536294948,0.18068942924356923
2,0.9098793905893957,0.09731118375000525,0.5727199694237961,0.2204431847588079
3,0.9062218445161374,0.09982236930774503,0.6857733876899172,0.17930207708217225
4,0.9017602688987191,0.10168168303196212,0.6462645786144079,0.1980793917744647
5,0.9027968233322092,0.10229756257035431,0.7516748265866,0.14975797600551116
6,0.9081558155556384,0.0991008181469404,0.5091643411370309,0.21843734372952717
7,0.9074572420316181,0.09938615036976572,0.4917044731416934,0.22407087129479433
8,0.9035304584938314,0.1010949914008931,0.6562568335923856,0.1903746777391108
9,0.9071279114764826,0.0985969879629593,0.6400835312470885,0.203955551903406
