latitude,longitude,Species cluster 3
-0.714360907,-90.31355602,0.375
18.26896939,-97.48647154,0.461538461538462
17.02938625,120.9009935,0.576923076923077
62.60437896,-145.4489639,1.0
5.39397145,-52.96356199,0.24
57.09812984,-3.861486515,0.857142857142857
41.58354899,23.21559249,0.0
20.31688573,-96.86772163,0.76271186440678
53.80438037,156.3947378,1.0
38.83354943,-107.0760533,0.947368421052632
42.61063216,23.25934248,0.710526315789474
43.44604869,-7.515652597,0.771428571428571
53.6356304,-2.836486679,0.9
43.33146538,22.85934254,0.525
-1.143527504,103.5655796,0.857142857142857
-2.678943926,12.77392749,0.0
43.11688208,23.1218425,0.65625
47.59188136,8.769761464,1.25
47.44604805,-92.43647234,1.42105263157895
78.02104316,13.9676773,1.09090909090909
53.31896378,35.33225721,1.22727272727273
52.84396386,-83.92605704,1.23913043478261
5.160638154,-52.65939537,0.428571428571429
43.33771538,-7.598985917,1.8
51.12521413,-55.92606152,1.10869565217391
-0.643527585,-90.32397268,0.0
43.11479875,23.13225917,0.583333333333333
43.67729866,-7.973985857,0.870967741935484
58.36896297,-3.982319829,0.72
37.76271627,-25.50106639,0.375
9.381470811,-82.36564062,0.521739130434783
-7.339359847,146.7155727,0.428571428571429
42.76896547,24.3718423,0.629032258064516
53.76063038,156.5572378,1.0
42.46063219,23.23017582,0.5625
42.1460489,23.78434239,0.585365853658537
-0.645610918,-90.31772268,0.166666666666667
44.38771521,-69.7885593,1.275
43.11688208,23.1218425,0.931034482758621
-0.643527585,-90.32397268,0.333333333333333
19.11271925,99.45933029,0.230769230769231
50.2647976,-63.66981028,1.10204081632653
-53.86018574,-69.57605933,1.38461538461538
44.87104847,-68.72605947,1.3125
-40.56643786,-73.56564203,0.0
-0.726860905,-90.36147268,0.6
54.4627136,-2.498986733,0.866666666666667
41.74396563,24.14684234,0.517241379310345
-1.23727749,103.6197463,0.75
-7.722693119,21.26350946,0.0
42.02104892,24.22392566,0.75
43.29604872,28.04267505,0.934426229508197
49.14188112,-122.9302175,1.07142857142857
1.527305402,124.9947429,0.0638297872340425
18.27313606,-97.48855487,0.333333333333333
-1.23727749,103.6197463,0.692307692307692
42.57313217,23.20517582,0.45
53.04188049,105.5593293,0.9375
-3.981027051,-79.08439115,0.688524590163934
60.8897959,68.68850188,1.40625
41.62104899,24.67809225,0.75
52.53979724,45.36975561,1.37142857142857
-42.3997709,173.5551518,1.25
54.69188023,-2.37190342,1.06451612903226
58.32521298,68.31975194,1.03448275862069
37.83563293,-25.75939968,0.375
46.27521491,-86.64897327,1.66666666666667
47.59188136,8.771844797,1.5
49.10021446,-68.21980955,1.3695652173913
41.71063231,23.50934244,0.642857142857143
53.6356304,-2.838570012,0.882352941176471
53.76063038,156.5593212,0.882352941176471
50.27521427,-63.61356029,1.21428571428571
-0.643527585,-90.32605601,0.4
67.82521146,19.73225971,1.25
46.40438155,9.69059465,1.16129032258065
60.8897959,68.68850188,1.2
-43.86227067,169.0655691,1.5
-1.143527504,103.5655796,0.666666666666667
54.2668803,156.3780712,0.0
42.60229883,23.25934248,0.3
42.6064655,23.26559248,0.5
50.20229761,-66.60105981,1.07142857142857
42.58563217,23.28434247,0.709677419354839
39.35438268,-106.6031367,1.03846153846154
42.58354883,23.28642581,0.24
45.68563167,-74.04480862,1.21276595744681
59.86271273,12.32392756,1.2
54.06063033,37.58850685,1.2
56.47521328,33.03642425,1.16129032258065
-7.693526456,21.36350945,0.0
52.91479718,-2.771903356,1.28571428571429
68.34604471,19.06559315,1.28571428571429
61.03146255,24.9843422,1.28571428571429
60.8897959,68.68850188,1.05882352941176
-42.8289375,170.9384855,1.13513513513514
42.57938217,23.29892581,0.375
41.54813233,23.63850908,0.4
50.76479752,28.95934157,1.13636363636364
18.3898027,-97.48022154,1.0
58.37104631,-3.965653165,1.08333333333333
64.16687871,100.5176635,1.08333333333333
51.60438072,14.26559392,0.428571428571429
42.58563217,23.28434247,0.428571428571429
79.14604298,102.7239131,0.714285714285714
-1.418527461,133.2905749,0.28125
42.68771548,-8.93440237,1.3125
56.97104653,82.61766631,0.962264150943396
-1.656027423,120.5426602,0.3
58.41271297,-3.796903192,1.2
47.59188136,8.77392813,1.2
29.55855092,94.55933107,0.8
15.55438649,-16.4427345,0.6
18.27105272,-97.48647154,0.5625
42.61479883,23.30934247,0.545454545454545
64.28979536,100.2009968,1.23809523809524
48.77521451,16.69684353,1.16666666666667
42.40646553,-8.373985793,1.10526315789474
50.21063095,-61.24897733,1.16129032258065
-40.77893783,-72.25939224,1.23529411764706
58.23354633,68.21766862,1.03125
53.33146378,46.82183871,1.03846153846154
-1.235194157,103.6197463,0.214285714285714
39.73354929,-3.848986517,0.0
44.95438179,-109.6968862,1.2
67.44604485,86.71141566,1.13513513513514
42.58979883,23.22184248,0.625
54.78771355,43.22183928,1.25
-36.36018854,148.5009891,1.15384615384615
42.96896544,-81.32397412,1.26923076923077
74.47104373,-20.57398384,1.07142857142857
52.93563051,-2.759403358,0.631578947368421
52.41896393,17.36559342,1.21052631578947
54.77729688,43.43433925,1.23529411764706
37.72521628,-25.46773306,0.75
68.35646138,18.81142652,1.05882352941176
76.88771001,15.53851038,1.02631578947368
70.98979429,-8.515652437,1.2
63.32729551,25.29267549,1.2
45.10229843,-83.63855708,1.23529411764706
53.6356304,-2.836486679,0.923076923076923
-35.64977198,148.8301557,1.09090909090909
40.34188252,-7.623985913,1.0
19.53355252,-101.6989709,0.775862068965517
42.12938224,23.46975911,0.525
30.55438409,114.4093279,0.285714285714286
-1.143527504,103.5697463,0.692307692307692
36.23354985,139.6759905,0.66
53.8064637,157.6239043,0.724137931034483
-1.235194157,103.6197463,0.857142857142857
41.71479897,23.46767578,0.416666666666667
42.60229883,23.26975914,0.733333333333333
40.1002159,40.56558971,0.833333333333333
42.68979882,2.234345843,1.09090909090909
55.17938015,40.2176731,0.96
42.57729883,23.26975914,0.375
58.42312963,-3.578153227,1.38461538461538
20.95021896,-99.61772119,0.3
47.5939647,8.767678131,0.0
34.91896673,-77.08855813,1.2
41.74396563,24.14684234,0.5625
45.78354832,14.20309393,1.0
41.59188232,24.44475896,0.67741935483871
-3.981027051,-79.08439115,0.679245283018868
48.76271451,35.43434053,0.260869565217391
42.20229889,23.31350914,0.375
36.17521652,120.6259936,1.07142857142857
42.1335489,23.47809244,0.529411764705882
-46.13102031,169.5551524,1.125
42.6002155,23.27184248,0.51063829787234
41.99396559,24.87184222,0.272727272727273
43.44604869,-7.436485943,0.75
42.57938217,23.26975914,0.365853658536585
55.62938008,159.5780707,0.6
46.54813153,-86.05939003,1.17857142857143
41.67313231,23.44059245,1.0
18.78563597,99.23849699,0.375
41.67938231,23.46975911,0.6
52.50438058,9.680177985,1.71428571428571
42.58563217,23.24684248,0.272727272727273
37.79396627,-25.4135664,0.166666666666667
58.175213,38.21767342,1.05882352941176
61.3064625,-121.2989677,1.04347826086957
41.70854897,23.46975911,0.375
55.26688014,40.21558977,0.8
42.5689655,23.3239258,0.692307692307692
-0.643527585,-90.32813935,0.0
-40.66018785,-72.16772559,1.23529411764706
-1.233110823,103.6197463,0.0
62.42937899,-150.7031297,1.18181818181818
53.76063038,156.5593212,1.04347826086957
42.14813224,23.78850906,0.394736842105263
-0.643527585,-90.32605601,0.333333333333333
46.64604818,10.33851121,1.5
53.89396369,-1.823986841,1.17073170731707
-7.108109884,107.8259956,1.05405405405405
42.60438216,23.26767581,0.0
60.9022959,68.67600188,1.21428571428571
41.67104898,24.15309234,0.214285714285714
42.20646556,23.31559247,0.214285714285714
46.56688153,6.173928546,0.0
55.07313017,-6.211486139,1.35483870967742
43.45646536,-7.436485943,0.75
-1.233110823,103.6197463,0.9
46.47104821,9.819761296,0.857142857142857
42.67729882,-8.719819071,0.0
42.77313214,24.25934232,0.535714285714286
51.48563074,27.98850839,0.813559322033898
-53.65185244,-70.96564245,1.44444444444444
42.58354883,23.26975914,0.5
60.9022959,68.68641854,1.05405405405405
-8.268526365,19.69892638,0.36
42.57938217,23.26767581,0.45
41.9502156,24.138509,0.72
60.8897959,68.68850188,1.82142857142857
-35.52060534,148.7697391,1.25806451612903
41.78771563,24.13225901,0.348837209302326
18.25438606,109.6405787,0.675
41.87313228,25.12184218,0.0
53.6356304,-2.842736678,1.125
47.58979803,8.77392813,1.5
40.08354923,-2.115653461,0.0
49.09604779,-68.24480955,1.09090909090909
44.29188189,-72.87397547,1.37142857142857
18.51688602,-92.63230565,0.707865168539326
14.72730329,109.0572454,3.0
67.26687822,49.88433822,1.54054054054054
53.4147971,17.23642678,1.30909090909091
41.74396563,24.14684234,0.428571428571429
-1.143527504,103.5697463,0.6
53.37938044,14.07601061,1.15714285714286
-1.143527504,103.567663,0.75
61.03562921,23.9426757,1.0
-40.74977117,-72.29897557,0.875
37.80021626,-25.20106643,0.24
47.59188136,8.771844797,0.857142857142857
64.20021204,100.4843301,1.36363636363636
52.45854725,17.29892677,1.21739130434783
28.78563437,-17.80731762,0.0
43.44813203,-80.35939094,1.73684210526316
9.383554144,-82.36564062,0.794117647058823
52.07313065,21.0635095,0.333333333333333
46.65021485,10.33226121,0.857142857142857
61.78354576,24.29475898,1.18181818181818
51.91688067,14.31767724,0.441176470588235
54.77521355,43.43433925,0.970588235294118
62.33354567,-150.5447964,1.14705882352941
53.63771373,-2.838570012,1.05882352941176
42.66271549,-8.967735698,1.23529411764706
53.38771377,47.99267185,1.03448275862069
18.29605272,-65.72397662,0.666666666666667
-1.143527504,103.567663,0.666666666666667
49.68563103,-77.73230803,1.10526315789474
52.93563051,-2.759403358,0.782608695652174
47.16688143,-88.25522301,1.2
33.06688369,35.58434051,1.28571428571429
43.11479875,23.1343425,0.558139534883721
47.59188136,8.771844797,1.0
-46.30393695,168.4426526,1.30769230769231
18.56688601,-95.06772192,0.482758620689655
42.05438225,128.055159,1.44
48.82104783,16.53226022,0.214285714285714
-40.66227118,-72.16355892,1.23529411764706
43.11896541,23.12392583,0.717391304347826
41.62104899,24.67809225,0.8
61.86062908,-6.832319373,0.794117647058823
42.42313219,-8.338569132,1.0
-40.66018785,-72.16564225,1.23529411764706
44.97521512,-109.7573029,1.16129032258065
18.27105272,-97.48855487,0.473684210526316
68.36479471,19.58225973,1.26923076923077
42.00229893,24.53850894,0.6
9.383554144,-82.36564062,0.48
43.44188203,-7.563569256,0.75
-0.643527585,-90.32813935,0.0
-43.91018733,168.9801525,1.30434782608696
52.65646389,15.87184366,1.06666666666667
1.096055471,13.20101075,0.375
60.8897959,68.68850188,1.38461538461538
42.58354883,23.26767581,0.384615384615385
14.33563669,-16.41148451,0.461538461538462
54.76688022,43.46558925,1.39285714285714
-44.03310398,168.7509859,1.40625
41.84813228,23.17392583,0.363636363636364
42.59604883,23.25100915,0.529411764705882
-4.110193697,-79.18022446,0.727272727272727
43.55229868,-70.47189252,1.11627906976744
18.27105272,-97.48855487,0.136363636363636
-3.747693755,14.52601054,0.264705882352941
42.76688214,24.25934232,0.348837209302326
46.71063151,6.161428548,0.67741935483871
45.40229838,-75.48647506,1.23214285714286
-6.701859949,106.9989124,0.0
41.54813233,23.64059242,0.477272727272727
-18.94977466,48.45100511,0.612244897959184
-1.235194157,103.6197463,0.789473684210526
-3.972693718,-79.08022448,0.723214285714286
-46.31435361,168.2155693,1.22222222222222
-1.235194157,103.6197463,0.545454545454545
58.05437969,38.24684008,1.125
-46.13310364,168.063486,1.37142857142857
57.44812979,-3.634403218,1.44
42.58563217,23.3301758,0.810810810810811
-42.8226875,171.0447355,1.44827586206897
60.98354589,24.66559225,1.4
67.44604485,86.71141566,0.9
42.58563217,23.24684248,0.428571428571429
-1.235194157,103.6197463,0.428571428571429
78.04395983,13.70726067,0.882352941176471
52.98354717,46.4614221,1.09090909090909
56.50021327,32.91767427,1.11764705882353
67.11687824,62.95100279,1.41666666666667
47.59188136,8.77392813,1.5
52.9856305,46.45933877,1.05882352941176
29.57105091,94.57808107,0.529411764705882
52.64396389,157.4489043,1.28571428571429
52.66063055,23.60725909,0.627906976744186
-7.328943182,109.6134953,0.64
36.56063313,-5.596902904,0.825
59.8543794,12.30309423,1.46153846153846
-0.643527585,-90.32188935,0.545454545454545
-4.676860273,12.16767759,0.0
54.14188032,-7.542735927,1.16129032258065
52.93563051,-2.759403358,1.3
42.03146559,128.4322423,1.38461538461538
42.9918821,-8.001069186,0.9
54.06688033,37.51350686,1.5
67.53146151,86.64683234,1.0
54.78771355,43.43642258,1.03846153846154
44.36896521,-74.49897521,1.24390243902439
-6.11227671,145.0947397,0.0
53.3835471,156.6947378,1.14285714285714
