RF_runs_num,Annual Mean Temperature,Mean Diurnal Range,Isothermality,Temperature Seasonality,Max Temperature of Warmest Month,Min Temperature of Coldest Month,Temperature Annual Range,Mean Temperature of Wettest Quarter,Mean Temperature of Driest Quarter,Mean Temperature of Warmest Quarter,Mean Temperature of Coldest Quarter,Annual Precipitation,Precipitation of Wettest Month,Precipitation of Driest Month,Precipitation Seasonality,Precipitation of Wettest Quarter,Precipitation of Driest Quarter,Precipitation of Warmest Quarter,Precipitation of Coldest Quarter,Evapotranspiration,Climate water deficit,Palmer Drought Severity Index,Reference evapotranspiration,Precipitation accumulation,Soil moisture,Minimum temperature,Maximum temperature,Vapor pressure,Vapor pressure deficit,Wind-speed at 10m,Snow cover,Soil bulk density at 0-30 cm depth,Clay content at 0-30 cm depth,Soil organic carbon content at 0-30 cm depth,Soil pH in H2O at 0-30 cm depth,Sand content,Soil water content,Percent tree cover,Percent non tree cover,Percent non vegetation,Normalized Difference Vegetation Index,Enhanced Vegetation Index,Gross primary production,Net photosynthesis,leaf area index,Elevation,latitude,longitude,The estimated number of persons per square kilometer,Global Human Modification
0.0,0.018556272415339334,0.00914588674353993,0.05774244479672737,0.05621530279010013,0.007438124688275673,0.036649237350132216,0.024890429038222753,0.011354502131790933,0.06944977811078389,0.020929541472493082,0.03005908146068562,0.014362296403637837,0.008258372285032761,0.006202496231570114,0.01605741612883123,0.009956558506328643,0.007659128866549209,0.006609050470943045,0.009691365833152965,0.009319122889570873,0.013649994058776793,0.015238460625435692,0.029260297501225944,0.016905059689134253,0.010165849692768198,0.028949082108338308,0.02738036390567727,0.025073765715049882,0.01612707343324556,0.008659808233645249,0.009526396567377426,0.007629693754643634,0.008429025778530542,0.006209852186087055,0.008684766697126816,0.007691288444730478,0.006582760048013129,0.0062089791670750395,0.005339761310783461,0.011466435194288048,0.009227492239251615,0.005840020212494177,0.009894248536092554,0.007404384946532526,0.006949947483413673,0.0694371957172554,0.1364710785842769,0.030471922586137238,0.01711740381415618,0.007461183154729383
1.0,0.024967985592278513,0.013517716082818296,0.04059084589892034,0.047049529445674663,0.015241439862564552,0.03389931215469,0.02662929771088041,0.014723652510289275,0.04425939931381925,0.02368257981391797,0.029503184081395975,0.013389471006890016,0.011831306638671775,0.013586858295935754,0.014971232162699221,0.012803323424118846,0.013994808146666681,0.014678040138583297,0.012964930926999733,0.011847603533664031,0.020789200750457353,0.01784941887807704,0.032857057820239705,0.014618791329427124,0.011586358859517703,0.02569179968359327,0.026003791133991948,0.024533802227849,0.017791890039845323,0.011132845370628228,0.01676807336121878,0.012571417889883644,0.014756850014047836,0.009917914783395498,0.011724339003009931,0.012911288955034348,0.011422028268007598,0.009511812007664593,0.009895404750884568,0.010977853007843987,0.010954488068426117,0.010322270652572352,0.01387316999295152,0.010733927144902795,0.01008318099789499,0.05327031739542338,0.07129539330342219,0.029758228628694674,0.019269257210993724,0.01299531172862222
2.0,0.021486829884412924,0.012979308314503843,0.03872506770593341,0.04188490806305218,0.01639873283141622,0.03486190574262733,0.027215533541613577,0.015618396595189673,0.04396001351660697,0.027544188365774044,0.02842453055602204,0.014011161849719348,0.012479240696924312,0.014107951157538798,0.015695462771478114,0.014767848274255004,0.012836304609362853,0.014138989767330402,0.012169539066354446,0.011945981659616954,0.022667326987334716,0.01724463356853195,0.029769279331627048,0.01577334011276289,0.012104014315746005,0.026659076313784495,0.023169517882305556,0.030174599259913427,0.018010889195954137,0.012389229982098585,0.016086166262131912,0.011430154187799985,0.013736997917669594,0.01008018024849928,0.011867966555140356,0.012623898020364132,0.011532745536418872,0.010150149844579234,0.009524150686905496,0.01277840688091241,0.011161987775310767,0.010937317987945396,0.013817285586907143,0.011968052283779236,0.010483261049911095,0.04818402795100098,0.06941671108076225,0.03218500387569156,0.020536109300051644,0.01228562504842736
3.0,0.023067916713763577,0.012047867720059304,0.04003423501644235,0.042375307052113155,0.01713439928636679,0.038371339786121283,0.027009018661914155,0.015480003712656154,0.041714069439935,0.029215843655698893,0.028613259114308714,0.013370835837545258,0.012397978538034139,0.012767531264796326,0.015871191843582315,0.013262726189001367,0.012437724354863842,0.013455474153265055,0.01245606754144887,0.011615123385888791,0.021971646133331083,0.018363601361721077,0.030596398094841597,0.015472439519417732,0.012102460873529682,0.02447967060347776,0.025372106448447968,0.02433514353104835,0.019505939589266982,0.011365360320143788,0.017772146088027022,0.011465068696552113,0.014665862255697814,0.010622999149518787,0.010644255254421999,0.012966860291330146,0.011453416369230592,0.010293092656574661,0.010106341585263155,0.0125111044976527,0.011944970626285082,0.010494183475069835,0.013414543857378183,0.011899997354364407,0.010972136405688908,0.052416532192370094,0.0714939646149607,0.0274667639792697,0.019455729544121024,0.011677351363191677
4.0,0.02380599526518849,0.012349407467740298,0.043140229488146976,0.044292185182176494,0.014980514706653384,0.03384866533835367,0.029003252530316537,0.015348308154326784,0.04518537924708282,0.02567352696055132,0.02762962740253375,0.013009346227026816,0.011929868670871358,0.012446587348601702,0.015619877183021054,0.013195574861056186,0.013405530733788078,0.013143089508578608,0.012257255186466602,0.01101593373325066,0.021038887594721053,0.014921487908281782,0.03241912502971603,0.013768686880547202,0.011698406558342233,0.02567898216144195,0.025530408045445485,0.025550021357080423,0.019386206273519106,0.010940287390111032,0.017097907773584133,0.012875676141020727,0.015458390726402314,0.010276168263805877,0.010330793252745746,0.013635176047193276,0.011112611698028959,0.010354665412923283,0.009419912828195192,0.011349662060447033,0.011830523475544774,0.01089942372028334,0.013555198166020032,0.011091635411337732,0.00997505087454658,0.054967737310917995,0.07302729490122903,0.02840704423199461,0.020626227740693344,0.01149624556814804
5.0,0.022050610013677453,0.011572431723418326,0.03955958856511642,0.0438068901067521,0.015502941813086516,0.03492259137252753,0.030331084648946655,0.016395663408837066,0.04259936721895534,0.027510697366093097,0.02775061786714939,0.01346049181409181,0.013865783519661196,0.013306936188703839,0.01580750912410417,0.013423570732552098,0.013695581967752762,0.014581923625702889,0.012507388178559975,0.011360484888070746,0.019497174238816205,0.017704745371097057,0.026194041428158527,0.014321561034912084,0.013209189188094907,0.027474228709024964,0.022102435894651485,0.027063207258934078,0.01799013458894034,0.01066008272231539,0.017548721946290098,0.011748884859044231,0.015097877070157988,0.010555900959024287,0.011649114440191826,0.012902607607970382,0.011613577313797826,0.009854645345257701,0.010508795616934593,0.012243633181246034,0.011423250960967163,0.010201339473582004,0.013298478256588317,0.012475984295122545,0.009371107018610091,0.05487260810347714,0.07095741332834962,0.03068335124020644,0.02032752865680009,0.012436225747677266
6.0,0.023344341241262542,0.012479548868156316,0.04063761936653964,0.04479066691000637,0.01682061639661488,0.03500898157888431,0.028636990929625416,0.015004170563074208,0.042078990702548134,0.026617851757566143,0.02938607109756377,0.013876201631199226,0.012578220138233292,0.012602168169762975,0.015149580977014888,0.014313930031777776,0.012843382098563316,0.013672365348115235,0.011915772164543953,0.011785198491257478,0.019417315877339855,0.01644355907050369,0.031368752734524705,0.014988180819675194,0.01152960017826889,0.02741922188393344,0.027234714594166636,0.026796407187693924,0.019495177548784385,0.010217957909186176,0.018599800438309465,0.011416786027419898,0.015057910678190194,0.010105730371236039,0.010762125006277498,0.013013264867671674,0.010653482907854743,0.00997507429887439,0.009497758070665654,0.011955999381253083,0.012000092642615047,0.010532879663574144,0.013879975417733415,0.011199729156190528,0.010305773555867254,0.051459837653116215,0.07078412730356291,0.028974394336205005,0.01958777018293886,0.011783931774057179
7.0,0.02346718021461288,0.012250813156639574,0.04202425370936581,0.047496751373368985,0.015593616988396562,0.03741039235643747,0.02702590436014882,0.016187357198200632,0.043486162628229755,0.024952363648132143,0.030102319486513544,0.014254458016802253,0.012682771896081226,0.013120094890223494,0.015174002418997117,0.013294527343891409,0.013081560412449043,0.014467708422973867,0.012402400475842333,0.011539233598213149,0.02048980806456097,0.01615582501802165,0.030917893823826256,0.01461853180521925,0.012949932184717704,0.02665818935152517,0.02499049161897667,0.025525174723847795,0.017483159802932254,0.011125597870472053,0.0185523327901685,0.011222979093360069,0.015006257721378615,0.010143466077544173,0.012688877031088211,0.012532717735116442,0.010818744144271905,0.009725671708932472,0.009929848356058394,0.011252635775614814,0.010763928054628065,0.010068930270337438,0.014613084858971677,0.012261061716983362,0.009347580146711037,0.051208690592692924,0.0707069012495398,0.028312612457194727,0.018529646979080105,0.011385556380707486
8.0,0.02376340765595208,0.01260368899699446,0.04112023681055045,0.04540512648372148,0.016454440203865228,0.03591366848930645,0.02996126715303938,0.016104181364773325,0.05001965835881094,0.02718756001000843,0.02946263634340654,0.013607888816831146,0.012420714429474691,0.012793609407912843,0.016609633304552233,0.013490806842463917,0.013358841541052062,0.012865835974768923,0.01308943053879292,0.011775518352303992,0.018164017911917813,0.016912443410238596,0.02732015649831524,0.014100874752796526,0.012036009866522661,0.02478373534448959,0.023584593017705203,0.02576169073557268,0.01524995370229037,0.011537052247737144,0.018417230779358338,0.011540880189710334,0.016276468110900257,0.01108907340336256,0.01126706941508807,0.013248610637645096,0.010805015529073867,0.010087232892077809,0.00982755526777454,0.011660984903426885,0.011032390559843156,0.01109351310089416,0.013213562278393534,0.011268532778747942,0.009958848243292878,0.054705312136939716,0.06685855467429992,0.027759504825626523,0.01942754709866729,0.013003434608709907
9.0,0.021048439338324235,0.013080017586337232,0.039172623257688936,0.04437153322413923,0.0142711349448101,0.036673758895988166,0.027806440024160606,0.01495793915318042,0.04597840552976623,0.025190807458587854,0.029551477979836184,0.013863090879682466,0.014034388084806785,0.013341532901185057,0.017859919484873636,0.0142199590106951,0.012731950784360386,0.013192754637407985,0.013716585664823307,0.012326015715521263,0.020816810951119296,0.016648024420530712,0.0290924695289358,0.013932554478776723,0.013216190054055298,0.027446564684146774,0.02308720700248998,0.025202175474474123,0.019263533850380262,0.011460868752953548,0.018001977429941928,0.012208497732939938,0.015105591609098815,0.01041014580125836,0.011407193698756698,0.012284501720603455,0.011984387498453918,0.009444504741119656,0.009981076679221532,0.012848639809154119,0.01170036665976701,0.01045219322220683,0.012561138360912296,0.01157714966105935,0.010036896358302285,0.05212709952430738,0.06999166156546703,0.02865021938494567,0.019605773101819886,0.012065811686626108
