latitude,longitude,Species richness
9.381470811,-82.36564062,25
52.91479718,-2.771903356,16
-5.781026763,145.0301563,60
68.08771142,19.83017636,26
42.59604883,23.25100915,17
5.456471439,-72.84897548,55
-7.108109884,107.8259956,41
53.76063038,156.5572378,24
-1.143527504,103.5697463,10
68.34604471,19.06559315,7
42.58563217,23.24684248,23
-1.143527504,103.567663,17
42.76688214,24.25934232,43
4.989804847,-75.33022508,50
53.31479712,46.19475548,44
19.70021916,-101.6989709,35
42.14813224,23.78850906,29
54.77729688,43.43433925,17
42.60229883,23.27184248,18
40.08354923,-2.115653461,3
19.62105251,98.17808049,11
42.20229889,23.31350914,32
56.50229661,33.05517424,32
61.63979578,-149.8635465,24
42.22938222,23.3489258,25
54.06063033,37.59267352,20
53.80438037,156.3947378,12
-0.643527585,-90.32605601,11
42.1460489,23.78434239,41
-8.035193069,21.30309279,8
73.50646055,80.54683331,18
-0.643527585,-90.33230601,12
42.96896544,-81.32397412,26
53.89396369,-1.823986841,41
42.15438223,23.77392573,33
43.44813203,-80.35939094,19
41.54813233,23.63850908,15
41.7481323,23.41142579,32
60.41479598,-150.9010463,36
-42.61227087,171.5718187,38
-1.143527504,103.567663,11
18.78355264,99.23641366,28
41.9752156,-7.873985873,9
-1.233110823,103.6197463,9
17.11896957,-96.35105505,18
42.15438223,23.77392573,48
18.26896939,-97.48647154,27
-1.233110823,103.6197463,19
41.70854897,23.46975911,32
58.87521289,26.25100867,10
-1.143527504,103.567663,9
43.49396535,-7.55940259,25
53.76063038,156.5551545,17
49.20438111,-122.7468842,35
55.17938015,40.2176731,25
42.57729883,23.26975914,41
52.93563051,-2.759403358,23
-42.3997709,173.5551518,24
18.39188604,-97.47605487,19
41.67104898,24.15309234,14
42.42313219,-8.338569132,21
53.8127137,16.58642688,7
46.5522982,-86.10522336,31
43.55229868,-70.47189252,43
47.59188136,8.771844797,5
47.59188136,8.77392813,4
-1.143527504,103.5655796,11
30.55230076,114.4114112,22
-0.645610918,-90.31772268,15
53.76063038,156.5572378,18
52.45854725,17.29892677,74
42.23146556,23.3489258,34
41.81271562,24.11767567,18
56.9752132,82.60724965,49
42.75229881,-8.807319057,16
68.623128,-149.5802132,34
-1.235194157,103.6197463,9
56.50021327,32.91767427,52
-3.212277173,12.25101091,1
42.12313224,23.48434244,38
-1.143527504,103.567663,13
65.58354515,77.58433379,67
48.83979783,16.49684356,23
47.30021474,-94.24897205,38
58.28354632,-134.5218823,42
47.5939647,8.767678131,2
-0.714360907,-90.31355602,36
41.74396563,24.38225897,15
54.34604695,-2.096903464,46
18.3835527,-97.4781382,20
-1.143527504,103.5697463,13
43.25229873,133.7072415,23
62.78562893,30.94892458,29
4.939804856,-75.34480841,37
37.80646626,-25.73648302,18
67.05854492,-50.45314573,84
54.76896355,43.18642262,16
53.2064638,156.8843211,27
-0.64769425,-90.32813935,28
-40.67060451,-72.10939226,18
16.18980306,-96.49897169,5
54.59813024,-84.64064026,28
60.8897959,68.68850188,14
29.61480091,94.65099772,12
58.4147963,-3.703153207,32
74.4689604,-20.57398384,69
52.28771395,-3.023986649,25
42.58979883,23.25100915,23
