latitude,longitude,Species richness
1.527305402,124.9947429,49
52.73563054,157.346821,12
42.60229883,23.27184248,18
43.11896541,23.12392583,50
68.35437804,19.04684315,27
-1.143527504,103.5697463,12
11.80022042,107.5676623,137
53.76063038,156.5572378,25
-5.781026763,145.0301563,60
53.6356304,-2.842736678,19
43.69396532,-7.965652525,31
41.74396563,24.14684234,40
-1.143527504,103.567663,15
-0.645610918,-90.31772268,15
63.32729551,25.29267549,20
42.58354883,23.29267581,7
41.99396559,24.87184222,12
-3.972693718,-79.08022448,122
-0.643527585,-90.32813935,24
-42.83727083,171.0051522,30
42.58563217,23.24684248,28
58.41271297,-3.796903192,45
43.11896541,23.12392583,47
58.05437969,38.24684008,9
69.38354454,91.55099822,87
64.20021204,100.4843301,33
42.20438223,23.3176758,33
46.00438162,-89.59480613,47
41.17521572,20.84059287,19
60.11687936,71.50100143,39
74.4689604,-20.57398384,69
67.86479479,19.36767643,16
-54.75393559,-68.33439287,22
19.70021916,-101.6989709,35
20.31688573,-96.86772163,74
18.27105272,-97.48855487,20
-1.418527461,133.2905749,32
-43.24768743,172.5551519,26
42.5752155,23.25934248,26
62.42937899,-150.7031297,33
60.47104597,-150.698963,41
1.096055471,13.20101075,49
54.08146366,156.2864045,28
-0.660194249,-90.32813935,7
41.70646564,23.50725911,75
-8.464359667,20.55517624,37
53.31479712,46.19475548,44
-39.22685474,175.5551514,40
53.76479704,156.5593212,21
41.95229893,-75.26564176,50
18.26896939,-97.48855487,25
47.59188136,8.769761464,7
67.95646144,19.98642634,30
-7.693526456,21.36350945,7
28.78563437,-17.80731762,4
-1.639360759,121.7072434,36
42.76688214,24.25934232,44
-1.143527504,103.5655796,20
-1.23727749,103.6197463,13
44.38771521,-69.7885593,40
18.39396937,-97.4718882,19
41.9502156,24.138509,25
-1.143527504,103.5697463,12
48.83979783,16.49684356,23
-46.30393695,168.4426526,39
42.12313224,23.48225911,18
16.33563637,120.5614102,75
56.46687994,33.04059091,65
42.57938217,23.26559248,51
43.13146541,-8.742735735,9
-1.143527504,103.5697463,14
-40.76643783,-72.21355891,10
65.58354515,77.58433379,67
48.77729784,16.6947602,18
-16.3581084,-68.11772623,59
76.88771001,15.53851038,46
9.381470811,-82.36772395,24
68.35646138,18.81142652,36
68.08771142,19.83017636,26
52.47521392,17.88851,70
54.78146355,43.44058925,17
-6.787276601,106.9822457,52
42.9918821,-8.001069186,10
49.2543811,-123.1968841,42
-1.143527504,103.5655796,14
52.91479718,-2.771903356,19
41.81271562,24.11767567,18
41.69604897,23.48434244,39
42.68771548,-8.93440237,16
41.74396563,24.14684234,16
42.46063219,23.23017582,16
54.34604695,-2.096903464,46
30.55438409,114.4093279,23
-46.13102031,169.5551524,24
-45.52685374,170.5551522,30
60.89187924,86.688499,24
42.58563217,23.28434247,15
41.48354901,24.31559231,48
-4.110193697,-79.18022446,33
47.59188136,8.769761464,12
42.58979883,23.25100915,23
42.69604881,-8.932319037,17
43.45229869,-7.523985929,30
-46.13310364,168.063486,35
53.76271371,156.5572378,18
58.87521289,26.25100867,10
47.5939647,8.767678131,6
58.78979624,68.79058519,41
