latitude,longitude,Species richness
43.44813203,-80.35939094,19
52.71271388,-84.17397367,39
58.41271297,-3.796903192,45
48.55021454,-58.43439445,31
60.8897959,68.68850188,12
41.34813236,23.18642582,45
56.97937986,82.61349965,52
42.22938222,23.3489258,15
54.44188027,158.3697375,21
58.175213,38.21767342,17
38.86688276,-107.0406367,17
40.56896582,-4.153153135,4
41.95229893,-75.26564176,50
67.48146152,86.4364157,4
42.00646559,23.9364257,26
61.03562921,23.9426757,15
42.15438223,23.77392573,33
-0.643527585,-90.32188935,11
42.5877155,23.25100915,36
-1.143527504,103.5655796,17
46.5522982,-86.10522336,31
53.65021373,-77.72605803,43
46.27521491,-86.64688994,31
19.70021916,-101.6989709,35
5.456471439,-72.84897548,55
58.42312963,-3.578153227,39
-1.235194157,103.6197463,9
47.81896466,8.176011559,85
42.61479883,23.30934247,79
43.11479875,23.19267582,35
-7.339359847,146.7155727,22
47.30021474,-94.24897205,38
53.76063038,156.5572378,18
-7.101859885,107.5114123,20
-42.3997709,173.5551518,24
46.47521488,-84.99480687,48
-42.61227087,171.5718187,38
60.78354592,22.78642589,31
36.23354985,139.6759905,55
42.58979883,23.25100915,23
47.42729806,-53.43856192,30
42.15438223,23.77392573,48
61.78354576,24.29475898,33
55.11896349,41.04058963,20
43.11896541,23.12392583,48
42.58563217,23.24684248,28
64.16687871,100.5176635,36
55.26688014,40.21558977,15
42.60229883,23.26975914,46
42.58563217,23.24684248,29
42.57729883,23.26975914,41
41.7168823,23.46767578,20
42.57938217,23.26975914,41
53.89396369,-1.823986841,41
-4.676860273,12.16767759,2
-13.91644213,-171.7802096,0
-7.108109884,107.8259956,41
-4.110193697,-79.18022446,50
42.49813218,23.16559249,29
43.44604869,-7.436485943,36
64.20021204,100.4843301,33
47.5939647,8.767678131,2
47.59188136,8.77392813,5
-3.981027051,-79.08439115,55
-40.66018785,-72.16564225,17
52.93563051,-2.759403358,23
42.57729883,23.20309249,33
68.88562796,21.05309283,27
-2.703943921,11.21976107,24
50.76479752,28.95934157,70
-1.233110823,103.6197463,13
41.85229895,23.17392583,40
44.16479858,-111.0073027,34
52.70854721,45.8239222,26
47.58979803,8.780178129,9
71.21479425,-156.6031287,50
56.54812993,32.79684095,52
-43.24768743,172.5551519,26
53.31479712,35.34475721,31
-1.143527504,103.5655796,20
40.87104911,-3.765653198,2
-0.643527585,-90.32605601,16
42.24604889,23.47184244,28
-1.143527504,103.567663,11
36.96063307,-107.6927199,22
-53.86018574,-69.57605933,27
53.76271371,156.5572378,18
-0.660194249,-90.32813935,7
42.58563217,23.28434247,49
-1.235194157,103.6197463,12
37.7772996,-25.46148306,29
42.58563217,23.28642581,19
54.06688033,37.51350686,12
41.76479896,24.14267567,77
-35.66018865,148.8405724,5
55.17313015,40.21975643,21
64.28354536,100.1843302,88
9.381470811,-82.36772395,24
41.83771562,23.38850912,22
46.45646488,9.855177957,76
-7.953943082,-14.32606817,10
37.84604959,-107.7260532,11
46.57313153,15.6468437,13
41.67938231,23.46975911,25
53.31479712,46.19475548,44
18.38771937,-97.48022154,21
68.34604471,19.06559315,7
-0.643527585,-90.32397268,9
