latitude,longitude,Species richness
-40.66018785,-72.16772559,17
47.58979803,8.778094796,7
44.95438179,136.5301577,22
-43.25602077,170.2864023,34
42.54604884,23.32184247,18
-0.643527585,-90.33230601,22
-1.235194157,103.6197463,14
4.979388183,-75.33647508,40
-3.212277173,12.25101091,1
58.41271297,-3.796903192,45
42.9918821,27.88642507,5
42.61896549,23.29059247,27
-1.143527504,103.567663,10
55.17938015,40.2176731,25
-6.787276601,106.9822457,52
42.23146556,23.3489258,25
42.62729883,23.25934248,5
41.59188232,24.44475896,31
18.78355264,99.23641366,28
42.11688224,23.49267577,25
-7.226859865,106.9364124,22
57.17312983,12.71351083,46
43.11479875,23.19267582,35
42.5814655,23.22184248,9
55.17104682,40.2114231,22
-5.781026763,145.0301563,60
-54.61643562,-67.77189296,23
4.996054847,-75.33230841,48
-7.895609757,114.2634946,41
78.02104316,13.9676773,12
41.70438231,23.50725911,42
-0.643527585,-90.32188935,11
53.3835471,156.6947378,21
-40.74977117,-72.29897557,28
-1.143527504,103.5655796,13
-13.91644213,-171.7489597,0
42.58563217,23.24684248,23
67.44604485,86.71141566,37
16.33563637,120.5614102,75
42.12313224,23.48434244,38
42.15438223,23.77392573,33
38.83354943,-107.0760533,19
42.61479883,23.30934247,79
42.9918821,-8.001069186,10
43.49396535,-7.55940259,25
45.40229838,-75.48647506,57
41.7481323,23.41142579,32
46.56688153,6.173928546,1
52.93563051,-2.759403358,36
-46.31435361,168.2155693,27
-6.826859928,107.9655789,43
54.11479699,-73.32605873,39
-46.13102031,169.5551524,24
57.44812979,-3.634403218,25
42.20438223,23.3176758,33
-4.676860273,12.16767759,2
-4.185193685,136.825991,79
46.00438162,-89.59480613,47
-43.91018733,168.9801525,46
37.88979958,-25.80106634,7
64.28979536,100.2009968,63
60.52729596,-150.5177131,26
52.41896393,17.36559342,62
-44.03310398,168.7509859,33
67.44604485,86.71141566,21
42.76688214,24.25934232,43
49.12313112,-122.9698008,41
47.44604805,-92.43647234,38
43.11896541,23.12392583,48
63.08146222,-149.5260465,35
44.16688191,-111.071886,19
61.03562921,23.9426757,15
53.04188049,105.5593293,51
48.1877146,-77.59480805,34
67.05854492,-50.45314573,84
42.1335489,23.47809244,29
47.58979803,8.77392813,6
49.10021446,-68.21980955,46
47.59188136,8.77392813,6
43.32938205,22.86142588,35
64.28354536,100.1843302,88
62.33354567,-150.5447964,34
69.38354454,91.55933155,63
47.5939647,8.765594798,5
45.78354832,14.20309393,6
54.35229695,16.96976015,11
54.2668803,156.3780712,9
19.11271925,99.45933029,13
-37.92477162,175.5551514,33
67.53146151,86.64683234,71
64.08354539,-17.16773439,66
52.84396386,-83.92605704,46
43.30021538,22.19475932,10
52.93563051,-2.759403358,23
-46.30393695,168.4426526,39
-1.23727749,103.6197463,16
-7.356026511,20.8489262,30
-3.522693791,28.96559157,31
41.7168823,23.46767578,20
42.22938222,23.3489258,15
51.91688067,14.31767724,37
53.30229712,157.4697377,22
47.59188136,8.771844797,7
46.40854822,9.703094648,53
-3.933110392,-74.41147523,44
40.90021577,45.6030889,78
54.12104699,-2.296903432,45
40.86688244,-106.6052201,21
46.47104821,9.819761296,57
43.25229873,133.7072415,23
53.36271377,46.58642208,26
69.38354454,91.55099822,87
41.17521572,20.84059287,19
57.10229651,14.53851054,37
60.8897959,68.68850188,16
54.24604697,-2.209403446,41
17.02938625,120.9009935,57
52.64396389,157.4489043,21
54.78771355,43.22183928,24
41.61688232,24.66559225,17
53.33146378,46.82183871,26
9.379387478,-82.36772395,19
64.67312863,-165.6614606,58
47.59188136,8.771844797,3
5.039804839,-52.55939539,8
67.26687822,49.88433822,37
61.03354588,25.03225886,21
62.78562893,30.94892458,29
-7.339359847,146.7155727,22
47.12729811,6.988511749,44
60.98354589,24.66559225,30
37.76271627,-25.42814973,21
53.76063038,156.5593212,19
46.7356315,10.42809453,18
53.83563037,36.2530904,19
48.77521451,16.6947602,12
69.82312781,27.17184185,35
16.18980306,-96.49897169,5
-1.233110823,103.6197463,13
47.59188136,8.77392813,6
68.08771142,19.83017636,26
42.22938222,23.3489258,11
46.40438155,9.69059465,32
59.86271273,12.32392756,40
56.50229661,33.05517424,32
53.2127138,16.72809352,73
50.76479752,28.95934157,70
42.00646559,24.61559226,21
14.33563669,-16.41148451,13
-0.643527585,-90.32605601,13
42.49604885,23.21559249,57
-13.91644213,-171.769793,40
63.32729551,25.29267549,20
47.16688143,-88.25522301,55
41.71063231,23.50934244,28
60.60229595,-151.2114629,22
54.59813024,-84.64064026,28
-0.643527585,-90.32397268,13
53.38771377,47.99267185,58
41.67729898,23.45517578,16
5.160638154,-52.65939537,21
-0.643527585,-90.33230601,14
54.77521355,43.40725592,18
41.78771563,24.13225901,43
-1.418527461,133.2905749,32
42.12938224,23.46975911,40
42.22313222,-7.638569244,13
41.87313228,25.12184218,4
-16.3581084,-68.11772623,59
48.77521451,16.6947602,15
52.79813053,6.396845177,27
18.27313606,-97.48647154,22
47.59188136,8.77392813,4
-0.660194249,-90.32813935,7
29.57105091,94.57808107,19
42.57938217,23.26559248,46
40.08354923,-2.115653461,3
42.60438216,23.27184248,45
54.34188028,156.1030712,12
78.04395983,13.70726067,19
58.33562965,-134.5531323,42
57.11479651,12.78017749,50
53.6356304,-2.836486679,16
71.21479425,-156.6031287,50
-0.643527585,-90.32188935,14
54.99604685,-2.307320097,31
-7.693526456,21.36350945,7
43.11896541,23.12392583,50
