latitude,longitude,Species richness
67.05854492,-50.45314573,84
53.6356304,-2.838570012,13
5.039804839,-52.55939539,8
-1.143527504,103.5655796,14
52.84396386,-83.92605704,46
41.71063231,23.50934244,28
54.08146366,156.2864045,28
62.42937899,-150.7031297,33
67.48146152,86.4364157,26
57.10229651,14.53851054,37
53.76063038,156.5530712,17
-1.143527504,103.5655796,9
-18.94977466,48.45100511,51
42.61479883,23.30934247,79
47.59188136,8.771844797,6
46.73146484,-53.5198119,33
37.75438294,-25.4073164,9
42.59604883,23.25100915,17
45.14396509,-63.9364769,44
-7.947693082,-14.34898484,9
42.1460489,23.78434239,41
42.66271549,-8.967735698,17
53.6356304,-2.842736678,15
41.95438227,-7.919819199,9
52.93563051,-2.759403358,24
42.57104883,23.3114258,39
18.3898027,-97.48022154,19
55.26688014,40.2051731,14
18.3835527,-97.4781382,20
64.28979536,100.2009968,63
45.10854843,-63.89481024,38
59.8543794,12.30309423,39
35.56063329,-5.594819571,34
-6.701859949,106.9989124,37
69.82312781,27.17184185,35
-40.66018785,-72.16772559,17
-6.949776575,108.4343289,42
-54.75393559,-68.33439287,22
43.44604869,-7.436485943,36
43.53146535,-7.657319241,4
53.76063038,156.5614045,18
43.29604872,28.04267505,70
18.38563604,-97.48022154,17
53.31896378,35.33225721,22
41.87313228,25.12184218,4
-6.787276601,106.9822457,52
-7.895609757,114.2634946,41
49.68563103,-77.73230803,38
-0.643527585,-90.33230601,12
41.59188232,24.44684229,19
42.58354883,23.22600915,25
-0.643527585,-90.33230601,22
41.95229893,-75.26564176,50
50.76479752,28.95934157,70
69.12937792,-104.8989703,88
9.381470811,-82.36772395,24
41.37104903,23.18850916,1
60.52729596,-150.5177131,26
40.36063252,-7.653152576,24
43.44813203,-80.35939094,19
48.77521451,16.6947602,15
44.16688191,-111.071886,19
47.59188136,8.77392813,5
55.11896349,41.04058963,20
42.42313219,-8.338569132,21
42.57938217,23.26559248,46
64.15021205,100.5176635,41
37.79396627,-25.4135664,18
42.9918821,-8.001069186,10
57.17312983,12.71351083,46
37.84604959,-107.7260532,11
41.70438231,23.50725911,42
42.96896544,-81.32397412,26
41.71063231,23.50934244,33
-40.66435451,-72.16355892,17
53.37938044,14.07601061,77
61.78354576,24.29475898,33
64.16687871,100.5176635,36
-1.233110823,103.6197463,19
54.30229696,-3.094819971,53
41.59188232,24.44684229,38
49.09604779,-68.24480955,33
52.91479718,-2.771903356,21
42.12313224,23.46975911,20
53.28771379,16.72184352,73
-7.722693119,21.26350946,17
52.91479718,-2.771903356,17
53.76063038,156.5572378,24
-0.643527585,-90.32188935,14
42.12313224,23.48434244,38
60.23979601,-151.3739629,22
-0.643527585,-90.32605601,17
45.68563167,-74.04480862,48
40.1002159,40.56558971,36
43.30021538,22.19475932,10
45.40229838,-75.48647506,57
53.33771378,-2.869820007,15
-35.66018865,148.8405724,5
18.27105272,-97.48855487,20
59.86271273,12.32392756,40
6.083554673,116.5489109,54
56.46271328,33.92809077,37
43.32938205,22.86142588,35
46.49813154,9.869761288,66
74.47104373,-20.57398384,47
42.61479883,23.30934247,33
43.11479875,23.13225917,36
52.93563051,-2.759403358,36
-1.235194157,103.6197463,14
-7.910193089,21.40309278,9
37.81688293,-25.26356642,22
68.35437804,19.04684315,27
54.35229695,16.96976015,11
18.25438606,109.6405787,55
42.9918821,27.88642507,5
-0.726860905,-90.36147268,24
58.175213,38.21767342,17
36.58354979,137.5926575,2
19.70021916,-101.6989709,35
46.58354819,-86.07397336,39
53.65021373,-77.72605803,43
-4.114360363,-78.9677245,74
-0.643527585,-90.32813935,8
64.15021205,100.5280801,49
57.07937985,-3.83023652,17
42.5877155,23.25100915,14
41.9752156,-7.873985873,9
14.33563669,-16.41148451,13
61.84396242,24.28850898,13
46.00438162,-89.59480613,47
63.08146222,-149.5260465,35
47.41896473,-88.00730639,48
37.88979958,-25.80106634,7
48.1877146,-77.59480805,34
14.78980328,108.9989121,10
41.74396563,24.144759,29
38.86688276,-107.0406367,17
43.44604869,-7.515652597,36
60.50854596,-149.4427132,26
54.06688033,37.51350686,12
54.77729688,43.43850592,24
62.00229573,-150.0552131,27
-1.143527504,103.567663,13
5.160638154,-52.65939537,21
-40.67893785,-72.16355892,17
42.59604883,23.28225914,5
53.63771373,-2.838570012,18
65.58354515,77.58433379,67
42.22313222,-7.638569244,13
44.16688191,-111.0739694,24
37.87729959,-107.3698033,20
-1.143527504,103.5655796,14
29.57105091,94.57808107,19
44.49396519,-63.89689358,1
78.0168765,14.38851056,6
56.85229655,10.17392791,36
42.21479889,126.5176593,32
18.26896939,-97.48855487,25
41.67313231,23.44059245,21
41.7481323,23.41142579,32
41.69604897,23.48434244,39
42.58354883,23.26975914,36
52.93563051,-2.759403358,19
41.84813228,23.17392583,35
41.7168823,23.46767578,20
60.8897959,68.68850188,26
53.75854704,156.5572378,34
18.39396937,-97.4718882,19
5.456471439,-72.84897548,55
-1.143527504,103.5655796,9
41.78771563,24.13225901,30
-42.3997709,173.5551518,24
61.03146255,24.9843422,28
61.16062919,-149.7427132,38
-1.143527504,103.567663,11
41.74396563,24.144759,33
42.5814655,23.22184248,9
53.80438037,156.3947378,12
67.26687822,49.88433822,37
48.77521451,16.6947602,12
41.78771563,24.13225901,43
-1.143527504,103.5697463,12
46.45646488,9.855177957,76
42.68979882,2.234345843,11
47.59188136,8.77392813,6
42.10021558,-8.630235752,38
-0.643527585,-90.32605601,13
30.55438409,114.4093279,23
21.47730221,105.632246,123
