latitude,longitude,Species richness
-0.643527585,-90.32813935,6
53.6356304,-2.838570012,13
55.17938015,40.2176731,25
53.6356304,-2.836486679,13
52.63146389,21.4676761,37
56.50229661,33.05517424,32
41.37104903,23.18850916,1
58.05437969,38.24684008,9
-42.61227087,171.5718187,38
41.7481323,23.41142579,32
19.07521926,99.08224701,18
-6.701859949,106.9989124,37
43.30021538,22.19475932,10
42.58563217,23.28434247,49
42.76688214,24.25934232,43
48.77521451,16.69684353,7
-17.44769156,-179.1572918,21
53.90438035,21.2280928,33
46.06063161,14.46767722,16
37.82313293,-25.74273301,20
58.28354632,14.01142729,14
18.27313606,-97.48647154,30
42.15438223,23.77392573,48
48.76271451,35.43434053,25
-1.233110823,103.6197463,17
52.91479718,-2.771903356,21
78.02104316,13.9676773,12
47.59188136,8.77392813,6
54.29813029,155.9551546,25
37.81688293,-107.7239699,12
52.50438058,9.680177985,21
44.29188189,-72.87397547,35
58.37104631,-3.965653165,36
-43.86227067,169.0655691,39
-7.895609757,114.2634946,41
-1.143527504,103.5655796,14
-53.86018574,-69.57605933,27
42.58563217,23.24684248,28
47.59188136,8.77392813,10
41.74396563,24.38225897,15
42.58563217,23.3301758,37
14.72730329,109.0572454,3
18.38563604,-97.48022154,17
68.88562796,21.05309283,27
41.7481323,23.41142579,22
44.95438179,-109.6968862,30
41.69604897,23.48434244,39
54.24604697,-2.209403446,41
42.6064655,23.26559248,6
-1.143527504,103.5697463,12
18.27105272,-97.48647154,18
-1.235194157,103.6197463,16
51.48563074,27.98850839,69
-21.37269093,-174.9406258,45
54.67521356,-84.5989736,39
60.60229595,-151.2114629,22
64.08354539,-17.16773439,66
42.12313224,23.46975911,42
41.85646562,24.163509,41
54.61063024,-84.60939026,30
33.06688369,35.58434051,23
54.14188032,-7.542735927,31
60.9022959,68.68641854,37
42.57104883,23.3114258,39
18.29605272,-65.72397662,101
42.22313222,-7.638569244,13
42.12729891,24.90934221,42
54.75438022,43.20100595,23
55.11896349,41.04058963,20
74.4689604,-20.57398384,69
42.5877155,23.25100915,34
43.25229873,133.7072415,23
53.75854704,156.5572378,17
42.61479883,23.30934247,79
42.62729883,23.25934248,5
4.979388183,-75.33647508,40
53.11063048,156.8780711,28
-1.143527504,103.567663,15
68.34604471,19.06559315,7
52.53979724,45.36975561,35
20.31688573,-96.86772163,74
36.58354979,137.5926575,2
54.06063033,37.59267352,20
-45.78102036,170.5551522,28
-3.972693718,-79.08022448,122
53.76063038,156.5551545,21
53.65021373,-77.72605803,43
53.1877138,18.30934327,51
-6.776859937,106.9259958,20
-3.933110392,-74.41147523,44
43.11688208,23.1218425,29
37.84604959,-107.7260532,11
-4.676860273,12.16767759,2
53.76479704,156.5593212,21
58.43146296,-3.428153251,47
44.15646525,-111.071886,22
51.91688067,14.31767724,37
59.87521273,12.29059423,42
-54.75393559,-68.33439287,22
-1.639360759,121.7072434,36
53.33354711,35.29475722,29
60.8897959,68.68850188,14
58.43146296,-3.432319917,29
67.86687812,19.17809313,23
-40.67060451,-72.10939226,18
42.58563217,23.28642581,40
0.064805635,18.29684327,5
41.87313228,25.12184218,4
-7.108109884,107.8259956,41
74.47104373,-20.57398384,47
46.97313146,6.713511793,31
47.59188136,8.771844797,7
59.79187941,-151.1697963,26
18.38771937,-97.48022154,21
29.57105091,94.57808107,19
57.44812979,-3.634403218,25
-53.37893581,-71.2656424,29
40.33771586,-7.611485915,23
42.60438216,23.26767581,9
-2.678943926,12.77392749,2
-1.143527504,103.5655796,13
53.31896378,35.33225721,22
-0.728944238,-90.31772268,6
37.79396627,-25.4135664,18
52.91479718,-2.771903356,15
46.98563146,-92.8885556,38
79.14604298,102.7239131,24
-13.91644213,-171.769793,40
-1.143527504,103.567663,11
42.59188216,23.25309248,8
6.083554673,116.5489109,54
54.20021364,155.8926546,23
41.34813236,23.18642582,45
5.39397145,-52.96356199,29
54.06063033,37.58850685,25
66.01687842,-37.02606454,31
42.58563217,23.26767581,25
-0.645610918,-90.31772268,19
46.5460482,-86.05939003,48
-1.143527504,103.5697463,10
-0.643527585,-90.33230601,22
55.22521348,-77.69689137,40
37.72521628,-25.46773306,4
58.23354633,68.21766862,65
60.50854596,-149.4427132,26
53.33771378,-2.867736674,18
41.85229895,23.17392583,40
42.58354883,23.26975914,46
47.5939647,8.767678131,6
-40.74977117,-72.29897557,28
-35.81227196,174.100985,32
43.32938205,22.86142588,35
62.00437906,-150.0593798,24
