RF_runs_num,Annual Mean Temperature,Mean Diurnal Range,Isothermality,Temperature Seasonality,Max Temperature of Warmest Month,Min Temperature of Coldest Month,Temperature Annual Range,Mean Temperature of Wettest Quarter,Mean Temperature of Driest Quarter,Mean Temperature of Warmest Quarter,Mean Temperature of Coldest Quarter,Annual Precipitation,Precipitation of Wettest Month,Precipitation of Driest Month,Precipitation Seasonality,Precipitation of Wettest Quarter,Precipitation of Driest Quarter,Precipitation of Warmest Quarter,Precipitation of Coldest Quarter,Evapotranspiration,Climate water deficit,Palmer Drought Severity Index,Reference evapotranspiration,Precipitation accumulation,Soil moisture,Minimum temperature,Maximum temperature,Vapor pressure,Vapor pressure deficit,Wind-speed at 10m,Snow cover,Soil bulk density at 0-30 cm depth,Clay content at 0-30 cm depth,Soil organic carbon content at 0-30 cm depth,Soil pH in H2O at 0-30 cm depth,Sand content,Soil water content,Percent tree cover,Percent non tree cover,Percent non vegetation,Normalized Difference Vegetation Index,Enhanced Vegetation Index,Gross primary production,Net photosynthesis,leaf area index,Elevation,latitude,longitude,The estimated number of persons per square kilometer,Global Human Modification
0.0,0.03729584547399388,0.027636088915386665,0.012944665506502107,0.018460274799573177,0.013392922645302908,0.018767684600764625,0.016637650175579926,0.015520009536817767,0.02215231939647436,0.020923723414904023,0.01532405118762842,0.014081657614413866,0.019653069004131305,0.011756316313362988,0.020965510529252496,0.025108082530067126,0.016966196809166636,0.025934939790887974,0.014036178833679592,0.026096680937634065,0.01840070865118247,0.05277472351011637,0.01457137224620886,0.017381508262931993,0.03064220049010551,0.028489301851387996,0.03648452179270728,0.019462499941800233,0.020153943388041953,0.015936773721383003,0.027146164430685887,0.01599372583606489,0.012510110224399093,0.015454083642177338,0.008693319966410646,0.017955861004061657,0.022069016793324788,0.010902971085332232,0.01059935253029194,0.025594852894757904,0.01412832566154255,0.011976518374052416,0.03338049159293106,0.016125579957001018,0.013434249344636674,0.022449656329838506,0.018951268263393446,0.029043538097331057,0.011470827365540118,0.014168664734837293
1.0,0.02550381127501832,0.019681915495649013,0.015918750164720434,0.020909613708004024,0.014689227504830938,0.022038553948151244,0.02274652282121379,0.01816419453612632,0.025131026201436917,0.01983921384024595,0.0196364363082621,0.017411817814769446,0.018761077158834957,0.01653811392442267,0.021780735974885276,0.02240011517241907,0.02002904335377048,0.020994001703418787,0.01733351221058966,0.022146862908150267,0.02018716318148164,0.0336742219954342,0.01745277609039031,0.01871244204121607,0.02194741712573536,0.023926923517984245,0.026824272788796587,0.02137299576901175,0.01907303392505264,0.01788305954915118,0.02209360471872262,0.01584672424861914,0.015057990254722039,0.016115803547368163,0.012404302700845953,0.01998340283913247,0.01933686787916879,0.016633567080962017,0.013155805937457944,0.01945431250020315,0.01881789652839696,0.01937601991749512,0.023133676442558922,0.021647973231429786,0.020754889281744165,0.022488172864156334,0.022054735624732855,0.02786092436722511,0.01356799736527544,0.017506480660609443
2.0,0.024740297970996188,0.023328888342191673,0.013666978807953976,0.018403049514756038,0.01709199735156284,0.020594034505530125,0.021017636698841876,0.017175951104443993,0.02305436863478017,0.019851688511209695,0.017319440028201964,0.018855635451511334,0.022425036341161896,0.015827879259000963,0.01960306110035961,0.024098567606101063,0.01980761003445418,0.022623408528313415,0.01707676253001711,0.022044715645771484,0.019665237776952033,0.038127997177843716,0.017892459645288968,0.018659261532374474,0.02507550009014581,0.026527954565744204,0.02730122625631125,0.02089003981974186,0.019468495426967734,0.01621683346781693,0.024797185725518162,0.016441855927341115,0.015057149151663908,0.017679707322289708,0.014104262648921015,0.021256195042581128,0.01919324213527486,0.015447963197414316,0.012978330680234192,0.019192750298454526,0.017077284961542264,0.01977170535003612,0.02267467052154646,0.02227695797458727,0.015808759123206596,0.01862519066189895,0.021199879530689362,0.028823455119388157,0.012083327171048364,0.01707811373001704
3.0,0.02441539030029155,0.023258299411592385,0.016010196290679478,0.019265632067278285,0.016608503305900208,0.02009230339216937,0.02062988329080455,0.01729078388635929,0.022980530051514264,0.01862033416607449,0.017859565407056847,0.018515805779624726,0.020334483496292,0.015659675142834006,0.01959987701908884,0.022555226213874735,0.017823529062052125,0.023824399273648277,0.016698037041973188,0.024162667264897644,0.018741176849957658,0.031754513621527924,0.01767508011501422,0.019292340778691776,0.023476364151490774,0.02550017825551827,0.025512136724961984,0.020966820598103827,0.017218780051646367,0.017194975532920254,0.02495131348414001,0.01684723375685572,0.01597918884336809,0.018103231674210296,0.01351633298980437,0.019536185648774105,0.01837515140635711,0.01733927709180382,0.016020991579600165,0.01972588582925165,0.017164736890265438,0.01777996879592822,0.026587659462881573,0.019174710665267065,0.01905523433768504,0.02342192868242938,0.022617353371682605,0.027931299647638134,0.014115206876435084,0.018219620421782864
4.0,0.02825619778595381,0.020807033166713926,0.017506364116515436,0.017387784345131854,0.018916192404827465,0.0222468315701797,0.020600632696579184,0.02007736072554996,0.02877271635445692,0.021245044336460527,0.022207869540232166,0.02255865652508812,0.019452009034232866,0.018133287285857374,0.015546191979153471,0.02102962914694848,0.01809899954251726,0.023361969001607245,0.017059153257839584,0.020444145223494185,0.019034021905554855,0.024628974079502246,0.02120871838191762,0.017769591798280138,0.02301365758881243,0.025351999146869975,0.028805394559013365,0.0221140862638685,0.020649337004232913,0.019757662237389714,0.02725898780376369,0.01908731782291983,0.017553117275589405,0.020478251269504706,0.012791972446570198,0.019897616655963662,0.018366265529157717,0.012951998638729591,0.01333085889997249,0.019083116087549805,0.01734878454198903,0.015877258049541636,0.02049733917364576,0.018531764069621436,0.016263479910241414,0.017066184154135723,0.02201512114948664,0.019775775825922912,0.014818159015859181,0.02096512067505375
5.0,0.026388970673880432,0.020285412072184324,0.015874104383354466,0.021270821554000046,0.015831484061185272,0.019365330898938656,0.018453996176540578,0.017995641488425286,0.023769911835208067,0.019572349337596297,0.018475227722452484,0.016983273456454343,0.01918018900500208,0.01603137013090593,0.01847780643127463,0.023281379087244883,0.01809226285186578,0.02343723727989303,0.017528832617830493,0.021717973791127845,0.019147104344253766,0.03332016934603661,0.01779077670343561,0.01896237848510197,0.022406060011533287,0.024566262167518182,0.024870458654815967,0.02209350940146739,0.01642740399154256,0.01703192642629124,0.024117069430591314,0.016561751325827566,0.015263326132093545,0.01852165696481963,0.014374335732906845,0.01985341155507243,0.022058162030289437,0.017591581870303928,0.015189376818492174,0.020407525119034715,0.02062607720022418,0.018430022558698193,0.023639239432957822,0.019832154757210913,0.019638349234291478,0.023100058516769276,0.022488542740776125,0.029495522420518405,0.012783493872954396,0.017398717898806045
6.0,0.023758154236644468,0.022120198354890656,0.016886416747106735,0.02183579166124312,0.01650892598539549,0.02233037590141231,0.02043016739399211,0.019392503228144675,0.022149783813566592,0.021195432820177374,0.019154412344603924,0.0172012817030907,0.01912125145428007,0.015726135100708836,0.021080515478554496,0.02107091404493517,0.017671001178015698,0.022396733636931686,0.016950624921581215,0.023309710308771384,0.019407931828682008,0.03009090324655074,0.01674450753122248,0.01789311326678521,0.02677540401845437,0.023786423165583215,0.024685844042352755,0.020338676233607928,0.018772227001098797,0.016417634847424672,0.024439141369036653,0.016700663909330803,0.01616785423386448,0.016874300178276368,0.014547497425663903,0.019218488565777767,0.01946742708884114,0.01714306837999398,0.01503922353110458,0.023019902080313123,0.017884007569853554,0.01686746020303917,0.025309217776034232,0.01785194799906681,0.019479867622576898,0.021684544388099317,0.02301558038621988,0.028936298405273318,0.012759419283524018,0.018391094108301104
7.0,0.02649925360671314,0.020219924768883592,0.015483956473389036,0.02006930922623099,0.01723824667307094,0.020868046016073512,0.020337391644817324,0.01837075796753283,0.022668517617071733,0.020031716775681885,0.01933884664190221,0.01653574604183392,0.019111292685766324,0.016665218152189267,0.022324933579947963,0.02269771105999112,0.018987633730832086,0.02363828298988557,0.016007007960669156,0.023698123462122946,0.016941785039567805,0.03178444409987875,0.018018973878694975,0.018028580780609853,0.023604474286787396,0.02411783197200205,0.026283293742613466,0.020731946842979007,0.018121994582475754,0.01712128929701678,0.022173607626158214,0.016973737140500218,0.015732227644410682,0.016443347901785234,0.014486382842884149,0.02080300629304791,0.017847245807780056,0.01739165433434872,0.014281034225267787,0.022247797349856307,0.018474474121331925,0.019838414374802625,0.028274129408146744,0.02210524935469365,0.018471031389640364,0.01814238050739874,0.021526476268313017,0.028454420243515178,0.013219739559072971,0.01756711200981421
8.0,0.025504631200521457,0.021030501117432966,0.01574555040728225,0.020218726851731535,0.016200515704897427,0.021079989753670602,0.019885930019460783,0.018780813809035707,0.02367341803891767,0.023345465918836367,0.01920262246454441,0.017129147959138277,0.019440648066042697,0.016666111633808024,0.01960006255028808,0.02170769673567899,0.018446170167576985,0.024063260374960222,0.015363824152831102,0.021470766772802928,0.01905559386608341,0.029838322368463496,0.019313646327358783,0.019903847391480704,0.022076024136102927,0.024925926462813,0.026498276405738555,0.021566463638404722,0.017468617626955674,0.018181469688722553,0.023470626784430428,0.01619961761500806,0.016633881045192294,0.01770872892697574,0.014478986827003357,0.02219088953270926,0.02108418266912463,0.017675418114200803,0.01571640172107465,0.020769724034180845,0.01854804395443888,0.017415624713279055,0.02149067459822484,0.018034229893353737,0.019584567683285654,0.022558466430137383,0.02187510018566762,0.02619130905714314,0.013089153575323607,0.01790033102766382
9.0,0.02442681954842547,0.02123394330638902,0.01487889383053444,0.01898081205305955,0.016662452245761874,0.019726578291691936,0.020651490297874404,0.016866937959753844,0.022403998901734577,0.019435527029317126,0.017445750352083178,0.017000221270843854,0.02125560868576528,0.015880634186330084,0.019622649531219886,0.02464788190307184,0.019327563971410243,0.022972414528936506,0.01745680176001752,0.0244527518490225,0.021117538611799918,0.0383073316439466,0.017874700133555257,0.019509795320202035,0.025534134680009694,0.022581239065937966,0.027034863668243137,0.0205821853667987,0.01775799238618589,0.01579670788736821,0.02246812147413993,0.01668405530354962,0.015881983785382952,0.017460651884170397,0.015126924025651195,0.01980220318219424,0.017113303169125484,0.015275807601629379,0.013543881463228293,0.021435816853313524,0.018742389019495265,0.01819429525925527,0.023973948954337933,0.019487576431245723,0.019348718578182753,0.022109880343718517,0.020967733032464533,0.02640849919821882,0.014783257691574254,0.019764732481831315
